"julian","SE","data","dia","casos","twits","tmin","tmed","tmax","t18","t24","t28","t32","mmchuva","diaschuva","umin","umed","casosq","Rt"
1122,161,201305,"27Jan2013",1054,185,24.1196428571429,27.621124049251,39.3375,6.98177083333333,5.62586805555556,2.80034722222222,1.11892361111111,14.3375,0.190972222222222,53.3464285714286,76.7445609742855,1951,1.20730198019802
1129,162,201306,"3Feb2013",1012,184,23.575,27.0979063471251,37.2,6.99913194444444,5.59722222222222,2.38975694444444,0.921875,41.45,0.440972222222222,57.6803571428571,81.0952923465424,2066,1.05894413121476
1136,163,201307,"10Feb2013",1340,224,27.2482142857143,32.1370976766289,42.25,6.98524305555556,6.98524305555556,5.78298611111111,3.15885416666667,0.275,0.00520833333333333,36.6464285714286,64.1231563401876,2352,1.13843175217812
1143,164,201308,"17Feb2013",2432,440,26.8303571428571,31.3484429627109,41.6375,6.93055555555556,6.92621527777778,5.37413194444444,2.75347222222222,0.05,0.000868055555555556,39.7817857142857,64.1572173496356,3772,1.60374149659864
1150,165,201309,"24Feb2013",2884,473,23.6735714285714,27.8593119145968,40.90375,6.93402777777778,5.63107638888889,2.66493055555556,1.21875,40.85,0.361111111111111,53.6594642857143,75.8574912050339,5316,1.40933191940615
1157,166,201310,"3Mar2013",2984,474,NA,30.5294143592092,40.7625,6.52430555555556,6.33767361111111,4.109375,2.20138888888889,55.075,0.125868055555556,Inf,69.8287835300844,5868,1.1038374717833
1164,167,201311,"10Mar2013",4027,659,NA,28.5163858348754,41.0875,6.60243055555556,6.19097222222222,2.89236111111111,1.06684027777778,64.4,0.431423611111111,Inf,78.8822575387956,7011,1.19478527607362
1171,168,201312,"17Mar2013",3961,869,23.2660714285714,26.0409435540897,36.4375,6.74045138888889,4.9609375,1.67013888888889,0.34375,42.6,0.301215277777778,60.5375,80.7558347418051,7988,1.13935244615604
1178,169,201313,"24Mar2013",3769,852,22.60625,25.6280931645806,34.01875,6.88107638888889,4.68663194444444,1.546875,0.188368055555556,23.025,0.296006944444444,57.9498214285714,79.3919811791696,7730,0.967701552328493
1185,170,201314,"31Mar2013",4910,932,23.9916071428571,27.3445565855225,34.815,6.78819444444444,5.97569444444444,2.57725694444444,0.637152777777778,27.375,0.254340277777778,57.4630357142857,78.0067164565429,8679,1.12276843467012
